"active_ingredient","dosage_form","strength","subsidy_class","clinical_indication"
"Ponatinib","Tablet","15 mg","MAF","1) Treatment of chronic, accelerated, or blast phase chronic myeloid leukaemia (CML) in patients: 

• whose disease is resistant to imatinib or dasatinib or nilotinib, and who have the T315I mutation OR

• whose disease is resistant to both nilotinib and dasatinib OR 

• whose disease is resistant to nilotinib or dasatinib and who are intolerant of/contraindicated to the other drug.

2) Treatment of patients with Philadelphia chromosome positive acute lymphoblastic leukaemia who are resistant to dasatinib; who are intolerant to dasatinib and for whom subsequent treatment with imatinib is not clinically appropriate; or who have the T315I mutation."
"Poractant alfa","Intratracheal suspension","120 mg/1.5 mL","SDL",""
"Posaconazole","Delayed-release tablet","100 mg","SDL",""
"Posaconazole","Oral suspension","40 mg/mL","MAF","For prophylaxis of invasive fungal infections in high risk patients (such as anticipated to have prolonged neutropenia) and haematopoietic stem cell transplant recipients"
"Potassium Chloride","Slow-release tablet","600 mg","SDL",""
"Potassium Chloride","Oral solution","500 mg/5 mL","SDL",""
"Potassium Chloride","Concentrate for infusion","7.45%","SDL",""
"Potassium Chloride","Infusion","0.1 mmol/mL, 0.2 mmol/mL, 0.4 mmol/mL","SDL",""
"Potassium Chloride & Sodium Chloride","Infusion","Potassium Chloride 0.15% + Sodium Chloride 0.9%","SDL",""
"Potassium Citrate","Oral solution","500 mg/5 mL","SDL",""
"Potassium Permanganate","Crystals","100%","SDL",""
"Potassium Permanganate","Topical solution","0.10%","SDL",""
"Potassium Phosphate Monobasic","Concentrate for infusion","1 mmol/mL (0.1361 g/mL)","SDL",""
"Povidone Iodine","Topical solution","10%","SDL",""
"Povidone Iodine & Alcohol","Topical solution","Povidone Iodine 10% + Alcohol 70%","SDL",""
"Pralidoxime Chloride","Injection","500 mg/10 mL","SDL",""
"Pramipexole Dihydrochloride Monohydrate","Tablet","0.125 mg","SDL",""
"Pravastatin Sodium","Tablet","20 mg","SDL",""
"Prazosin","Tablet","1 mg, 5 mg","SDL",""
"Prednisolone","Syrup","5 mg/5 mL, 10 mg/5 mL","SDL",""
"Prednisolone","Tablet","1 mg, 5 mg, 20 mg","SDL",""
"Pregabalin","Capsule","25 mg, 50 mg, 75 mg, 100 mg, 150 mg, 300 mg","SDL",""
"Primaquine","Tablet","15 mg","SDL",""
"Probenecid","Tablet","500 mg","SDL",""
"Procainamide Hydrochloride","Injection","100 mg/mL","SDL",""
"Procaine Hydrochloride","Lotion (in spirit 70%)","2%","SDL",""
"Procarbazine","Capsule","50 mg","SDL",""
"Prochlorperazine Maleate","Tablet","5 mg","SDL",""
"Prochlorperazine Mesilate","Injection","12.5 mg/mL","SDL",""
"Progesterone","Injection","50 mg/mL","SDL",""
"Promethazine Hydrochloride","Syrup","5 mg/5mL","SDL",""
"Promethazine Hydrochloride","Injection","25 mg/mL","SDL",""
"Promethazine Hydrochloride","Syrup","5 mg/5 mL","SDL",""
"Promethazine Theoclate","Tablet","25 mg","SDL",""
"Propantheline Bromide","Tablet","15 mg","SDL",""
"Propafenone Hydrochloride","Tablet","150 mg","SDL",""
"Proparacaine Hydrochloride","Eye drops","0.50%","SDL",""
"Propofol","Injection","10 mg/mL","SDL",""
"Propranolol Hydrochloride","Injection","1 mg/mL","SDL",""
"Propranolol Hydrochloride","Tablet","10 mg, 40 mg, 80 mg","SDL",""
"Propylene Glycol","Solution","40%","SDL",""
"Propylthiouracil","Tablet","50 mg","SDL",""
"Protamine Sulfate","Injection","1% (10 mg/mL)","SDL",""
"Pyrazinamide","Tablet","500 mg","SDL",""
"Pyridostigmine Bromide","Tablet","10 mg, 60 mg","SDL",""
"Pyridoxine Hydrochloride","Tablet","10 mg, 50 mg","SDL",""
"Pyrimethamine","Tablet","25 mg","SDL",""
"Quetiapine","Tablet","25 mg, 100 mg, 200 mg","SDL",""
"Quinine Sulfate","Tablet","300 mg","SDL",""
"Rabies Virus Vaccine (Inactivated)","Injection","Minimum 2.5 international units","SDL",""
"Ranibizumab (Lucentis)","Prefilled syringe","1.65mg/0.165 mL","SDL",""
"Ranibizumab (Lucentis)","Injection","2.3 mg/0.23 mL","SDL",""
"Ranitidine","Injection","50 mg/2 mL","SDL",""
"Ranitidine","Tablet","150 mg","SDL",""
"Raltegravir","Tablet","400 mg","MAF","In combination with other antiretroviral agents for the treatment of HIV-1 infection"
"Recombinant Factor VIII (Octocog alfa) (Advate)","Injection","250 international units, 500 international units, 1000 international units, 1500 international units","SDL",""
"Recombinant Factor VIII (Moroctocog alfa) (Xyntha)","Injection","250 international units, 500 international units, 1000 international units, 2000 international units","SDL",""
"Recombinant factor IX (Nonacog alfa) (BeneFIX)","Injection","250 international units, 500 international units, 1000 international units, 2000 international units","SDL",""
"Regorafenib","Tablet","40 mg","MAF","1) Treatment of patients with locally advanced, unresectable or metastatic gastrointestinal stromal tumours (GISTs) who have been previously treated with imatinib mesylate.

2) Treatment of advanced unresectable hepatocellular carcinoma in patients with disease progression after 1 or more prior lines of systemic therapy, and who have adequate liver function as assessed by the Child-Pugh scoring system.

3) Treatment of metastatic colorectal cancer that has been previously treated with, or are not considered candidates for, available therapies including fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and if RAS wild-type, an anti-EGFR therapy."
"Ribavirin","Capsule","200 mg","MAF","Treatment of chronic hepatitis C infection (all genotypes)"
"Ribavirin","Tablet","200 mg","MAF","Treatment of chronic hepatitis C infection (all genotypes)"
"Ribociclib","Tablet","200 mg","MAF","$92"
"Rifampicin","Capsule","150 mg, 300 mg","SDL",""
"Rifampicin","Suspension","100 mg/5 mL","SDL",""
"Rifaximin","Tablet","550 mg","SDL",""
"Rilpivirine","Tablet","25 mg","SDL",""
"Risdiplam","Powder for
oral solution","0.75 mg/mL","MAF","Additional clinical criteria applies

1) Treatment of symptomatic Type 1, 2 or 3 spinal muscular atrophy (SMA) in patients who are/were 18 years of age or under at the time of initial treatment with risdiplam or nusinersen

2) Treatment of symptomatic Type 1, 2 or 3 SMA in patients aged 19 years or above who had not initiated treatment with risdiplam or nusinersen prior to 19 years of age despite onset of signs/symptoms of SMA

3) Treatment of pre-symptomatic SMA in patients who are/were under 3 years of age at the time of initial treatment with risdiplam or nusinersen

4) Treatment of SMA in patients who have experienced a regression in a developmental state despite treatment with gene therapy."
"Risedronate Sodium","Tablet","35 mg","SDL",""
"Risperidone","Oral solution","1 mg/mL","SDL",""
"Risperidone","Tablet","1 mg, 2 mg","SDL",""
"Ritonavir","Tablet","100 mg","SDL",""
"Rituximab biosimilar (Truxima)","Concentrate for solution for infusion","100 mg/10 mL, 500 mg/50 mL","SDL",""
"Rivaroxaban","Tablet","15 mg, 20 mg","SDL",""
"Rivastigmine","Transdermal patch","4.6 mg/24 hr, 9.5 mg/24 hr","MAF","1) Treatment of moderately severe dementia associated with Parkinson’s disease in patients who have behavioural symptoms

2) Treatment of moderately severe dementia associated with Alzheimer’s disease in patients who have behavioural symptoms"
"Rivastigmine","Transdermal patch","13.3 mg/24 hr","MAF","Treatment of moderately severe dementia associated with Alzheimer’s disease in patients who have behavioural symptoms"
"Ropinirole","Tablet","0.25 mg, 1 mg, 2 mg","SDL",""
"Rosuvastatin","Tablet","5 mg, 10 mg, 20 mg","SDL",""
"Ruxolitinib","Tablet","5 mg, 15 mg, 20 mg","MAF","1) Treatment of patients with intermediate-1 risk myelofibrosis with severe disease-related symptoms or splenomegaly that are resistant, refractory or intolerant to available therapy

2) Treatment of patients with intermediate-2 or high-risk myelofibrosis with disease-related splenomegaly or symptoms

3) Treatment of grades II to IV acute graft-versus host disease in patients who have an inadequate response to corticosteroids"
"Sacubitril & valsartan","Tablet ","Sacubitril 24 mg + Valsartan 26 mg tablet, Sacubitril 49 mg + Valsartan 51 mg tablet, Sacubitril 97mg + Valsartan 103 mg tablet","MAF","To reduce the risk of cardiovascular death and hospitalisation for heart failure (HF) in patients:

• with chronic HF classified by NYHA Class II-IV symptoms; and

• with left ventricular ejection fraction of 40% or less; and

• who are receiving concomitant optimal standard chronic heart failure treatment, which includes a beta-blocker, unless contraindicated or not tolerated; and

• who remain symptomatic despite already receiving a stable dose of an angiotensin-converting enzyme (ACE) inhibitor or an angiotensin II receptor blocker (ARB), unless such treatment is contraindicated or cannot be tolerated.  "
"Salbutamol","Inhalation aerosol","100 mcg/dose","SDL",""
"Salbutamol","Nebulisation solution","0.50%","SDL",""
"Salbutamol","Concentrate for infusion","5 mg/5 mL","SDL",""
"Salbutamol","Oral liquid","2 mg/5 mL","SDL",""
"Salbutamol","Tablet","2 mg","SDL",""
"Salicylic Acid","Cream","2%, 20%","SDL",""
"Salicylic Acid","Ointment","1%, 2%, 5%, 10%, 20%, 40%","SDL",""
"Salicylic Acid","Topical solution","10%","SDL",""
"Salicylic Acid & Lactic Acid","Topical solution","Salicylic Acid 16.7% + Lactic Acid 16.7% Collodion","SDL",""
"Sea Snake Venom Antiserum","Concentrate for infusion","1,000 units/dose","SDL",""
"Secukinumab (Cosentyx)","Injection, prefilled pen","150 mg/mL","MAF","Additional clinical criteria applies

1) Treatment of adult patients with ankylosing spondylitis

2) Treatment of adult patients with psoriatic arthritis with axial involvement

3) Treatment of adult patients with psoriatic arthritis with peripheral involvement

4) Treatment of adult patients with chronic plaque psoriasis

5) Treatment of children and adolescents aged 6 years and above with chronic plaque psoriasis

6) Treatment of adult patients with non-radiographic axial spondyloarthritis"
"Secukinumab (Cosentyx)","Injection, prefilled pen","300 mg/2 mL","MAF","Additional clinical criteria applies

1) Treatment of adult patients with ankylosing spondylitis

2) Treatment of adult patients with psoriatic arthritis with axial involvement

3) Treatment of adult patients with psoriatic arthritis with peripheral involvement

4) Treatment of adult patients with chronic plaque psoriasis

5) Treatment of children and adolescents aged 6 years and above with chronic plaque psoriasis"
"Selenium Sulfide","Topical suspension","2.50%","SDL",""
"Selexipag","Tablet","200 mcg, 400 mcg, 600 mcg, 800 mcg","MAF","To be added as the second or third drug in a combination treatment for pulmonary arterial hypertension (PAH), in line with the following criteria:
• Patient is already receiving an endothelin receptor antagonist and/or a phosphodiesterase type 5 inhibitor at maximum tolerated doses; and
• Prior to adding selexipag treatment, patient is assessed to have intermediate to high risk of 1-year mortality (according to the European Society of Cardiology/European Respiratory Society risk-stratification tool) during follow-up."
"Sennosides","Tablet","7.5 mg","SDL",""
"Sertraline","Tablet","50 mg","SDL",""
"Sevelamer Carbonate","Tablet","800 mg","MAF","Treatment of hyperphosphataemia in patients with chronic kidney disease who have persistent hyperphosphataemia despite optimising treatment with calcium-based phosphate binders, or who are unable to tolerate calcium-based phosphate binders due to hypercalcaemia."
"Silicone Cream","Cream","Dimethicone 10%, Chlorocresol 0.1%","SDL",""
"Silver sulphadiazine & chlorhexidine digluconate","Cream","Silver sulphadiazine 1%, Chlorhexidine digluconate 0.2%","SDL",""
"Simethicone","Oral drops","100 mg/mL","SDL",""
"Simvastatin","Tablet","10 mg, 20 mg","SDL",""
"Siponimod","Tablet","0.25 mg, 2 mg","MAF","Treatment of adults with secondary progressive multiple sclerosis with active disease evidenced by relapses or imaging features of inflammatory activity."
"Sirolimus","Tablet","0.5 mg, 1 mg, 2 mg","MAF","For kidney transplant immunosuppression in patients with:

1) Evidence of CNI-induced nephrotoxicity on allograft biopsy OR

2) Elevated serum creatinine levels precluding the achievement of optimal therapeutic blood levels of CNI OR

3) History of CNI drug hypersensitivity"
"Sirolimus","Oral solution","1 mg/mL","MAF","For kidney transplant immunosuppression in patients with:

1) Evidence of CNI-induced nephrotoxicity on allograft biopsy OR

2) Elevated serum creatinine levels precluding the achievement of optimal therapeutic blood levels of CNI OR

3) History of CNI drug hypersensitivity"
"Sitagliptin","Tablet","25 mg, 50 mg, 100 mg","SDL",""
"Sodium Alginate, Sodium Bicarbonate & Calcium Carbonate","Oral suspension","Sodium Alginate 500 mg/10 mL + Sodium Bicarbonate 267 mg/10 mL + Calcium Carbonate 160 mg/10 mL","SDL",""
"Sodium Benzoate","Injection","2 g/10 mL","SDL",""
"Sodium Benzoate","Powder","5 g, 1 kg","SDL",""
"Sodium Benzoate","Tablet","500 mg","SDL",""
"Sodium Bicarbonate","Infusion","4.2%, 8.4%","SDL",""
"Sodium Bicarbonate","Injection","4.2%, 8.4%","SDL",""
"Sodium Bicarbonate","Capsule","500 mg","SDL",""
"Sodium Bicarbonate","Powder","Minimum 99%","SDL",""
"Sodium Calcium Edetate","Injection","500 mg/10 mL","SDL",""
"Sodium Chloride","Infusion","0.45%, 0.9%, 3%, 20%","SDL",""
"Sodium Chloride","Irrigation solution","0.90%","SDL",""
"Sodium Chloride","Injection","0.45%, 0.9%, 3%, 20%","SDL",""
"Sodium Chloride","Eye drops","0.9%, 5%","SDL",""
"Sodium Chloride","Eye ointment","5%","SDL",""
"Sodium Chloride & Dextrose","Sustained-release tablet","Sodium Chloride 500 mg + Dextrose 200 mg","SDL",""
"Sodium Chloride, Calcium Chloride Dihydrate & Potassium Chloride","Infusion","Sodium Chloride 8.6 g/L + Calcium Chloride Dihydrate 0.33 g/L + Potassium Chloride 0.3 g/L","SDL",""
"Sodium Nitrite","Injection","3%","SDL",""
"Sodium Nitroprusside","Injection","50 mg/2 ml","SDL",""
"Sodium Polystyrene Sulfonate","Oral suspension","15 g/60 mL","SDL",""
"Sodium Polystyrene Sulfonate","Powder for oral suspension","99 - 100%","SDL",""
"Sodium Tetradecyl Sulfate","Injection","1%, 3%","SDL",""
"Sodium Thiosulfate","Injection","25%","SDL",""
"Sodium Valproate","Controlled-release tablet","200 mg, 300 mg, 500 mg","SDL",""
"Sodium Valproate","Enteric-coated tablet","200 mg","SDL",""
"Sodium Valproate","Injection","400 mg","SDL",""
"Sodium Valproate","Syrup","200 mg/5 mL","SDL",""
"Sodium zirconium cyclosilicate","Powder for oral suspension","5 g","MAF","Treatment of chronic hyperkalaemia in patients with chronic kidney disease Stage 3b to 5 (non-dialysis dependent):
• who have experienced at least 2 episodes of hyperkalaemia (defined as serum potassium levels of at least 5.5 mmol/L) in the past 12 months; and
• who are receiving treatment with a renin-angiotensin-aldosterone system (RAAS) inhibitor, or who are indicated for treatment with a RAAS inhibitor but unable to tolerate it due to hyperkalaemia."
"Sofosbuvir & Velpatasvir","Tablet","Sofosbuvir 400 mg + Velpatasvir 100 mg","SDL",""
"Solifenacin Succinate","Tablet ","5 mg ","SDL ",""
"Somatostatin (as Acetate)","Infusion","3 mg","SDL",""
"Somatropin (SciTropin A)","Solution for injection","5 mg/1.5 mL, 10 mg/1.5 mL","SDL",""
"Somatropin (Norditropin)","Prefilled pen","5 mg/1.5 mL, 10 mg/1.5 mL","MAF","1) Treatment of children with short stature due to conditions associated with growth failure

*Somatropin is not recommended for the treatment of idiopathic short stature

2) Replacement therapy in adults with growth hormone deficiency associated with benign or malignant hypothalamic or pituitary neoplasms."
"Somatropin (Zomacton, Genotropin, Saizen)","Injection","4 mg, 5.3 mg/mL, 5.83 mg/mL","MAF","1) Treatment of children with short stature due to conditions associated with growth failure

*Somatropin is not recommended for the treatment of idiopathic short stature

2) Replacement therapy in adults with growth hormone deficiency associated with benign or malignant hypothalamic or pituitary neoplasms."
"Somatropin (Saizen)","Injection","8 mg/mL","MAF","Replacement therapy in adults with growth hormone deficiency associated with benign or malignant hypothalamic or pituitary neoplasms."
"Sorafenib","Tablet","200 mg","SDL",""
"Sotalol hydrochloride","Tablet","80 mg","SDL",""
"Spironolactone","Tablet","25 mg","SDL",""
"Stiripentol","Capsule","250 mg, 500 mg","MAF","Treatment of status epilepticus in Dravet syndrome"
"Stiripentol","Oral suspension","250 mg, 500 mg","MAF","Treatment of status epilepticus in Dravet syndrome"
"Streptomycin","Injection","1 g","SDL",""
"Sucroferric oxyhydroxide","Chewable tablet","500 mg","MAF","Treatment of hyperphosphataemia in patients with end-stage renal disease on haemodialysis or peritoneal dialysis who have persistent hyperphosphataemia despite optimising treatment with calcium-based phosphate binders, or who are unable to tolerate calcium-based phosphate binders due to hypercalcaemia."
"Sulfamethoxazole & Trimethoprim","Concentrate for infusion","Sulfamethoxazole 80 mg/mL + Trimethoprim 16 mg/mL","SDL",""
"Sulfamethoxazole & Trimethoprim","Suspension","Trimethoprim 40 mg/5 mL + Sulphamethoxazole 200 mg/5 mL","SDL",""
"Sulfamethoxazole & Trimethoprim","Tablet","Trimethoprim 20 mg + Sulphamethoxazole 100 mg, Trimethoprim 80 mg + Sulphamethoxazole 400 mg","SDL",""
"Sulfasalazine","Enteric-coated tablet","500 mg","SDL",""
"Sulphur, Resorcinol & Calamine","Lotion","Sulphur 4% + Resorcinol 2% + Calamine 10%","SDL",""
"Sulphur, Zinc Oxide, Resorcinol & Calamine","Cream","Sulphur 4% + Zinc Oxide 8% + Resorcinol 2% + Calamine 8%","SDL",""
"Sulpiride","Tablet","200 mg","SDL",""
"Sumatriptan","Tablet","50 mg","SDL",""
"Sunitinib ","Capsule","12.5 mg","SDL",""
"Suxamethonium Chloride","Injection","50 mg/mL","SDL",""
"Tacrolimus","Prolonged-release capsule","0.5 mg, 1 mg, 5 mg","SDL",""
"Tacrolimus","Capsule","0.5 mg, 1 mg, 5 mg","SDL",""
"Tacrolimus","Concentrate for infusion","5 mg/mL","SDL",""
"Tafamidis","Capsule","61 mg","MAF","Additional clinical criteria applies

Treatment of transthyretin amyloid cardiomyopathy (ATTR-CM)"
"Tamoxifen","Tablet","10 mg, 20 mg","SDL",""
"Tamsulosin Hydrochloride","Prolonged release tablet","400 mcg","SDL",""
"Telmisartan","Tablet","40 mg, 80 mg","SDL",""
"Temozolomide","Capsule","20 mg, 100 mg","SDL",""
"Tenofovir Disoproxil Fumarate","Tablet","300 mg","SDL",""
"Tepotinib","Tablet","225 mg","MAF","Treatment of metastatic non-small cell lung cancer (NSCLC) with mesenchymal-epithelial transition factor gene exon 14 skipping (METex14sk) alterations"
"Terazosin","Tablet","2 mg, 5 mg","SDL",""
"Teriparatide biosimilar (Sondelbay)","Injection, prefilled pen","600 mcg/2.4 mL","MAF","For treatment of patients with severe established osteoporosis (T-score ≤ -3.0) with a history of ≥ 2 vertebral fractures or ≥ 2 fragility fractures. The maximum lifetime duration of teriparatide treatment should be limited to 24 months."
"Terlipressin acetate","Solution for injection","1 mg/8.5 mL","SDL",""
"Testosterone Cipionate","Injection","100 mg/mL","SDL",""
"Tetanus Immunoglobulin (Human)","Injection","250 units/dose","SDL",""
"Tetanus Toxoid Vaccine","Injection","Minimum 40 international units/0.5 mL","SDL",""
"Tetracycline Hydrochloride","Ointment","3%","SDL",""
"Tetracycline Hydrochloride","Capsule","250 mg","SDL",""
"Thalidomide","Capsule","50 mg","SDL",""
"Theophylline","Sustained-release tablet","125 mg, 200 mg, 250 mg, 300 mg","SDL",""
"Theophylline","Syrup","80 mg/15 mL","SDL",""
"Thiamine Hydrochloride","Injection","100 mg/2 mL, 100 mg/mL","SDL",""
"Thiamine Hydrochloride","Tablet","10 mg","SDL",""
"Thiopental Sodium","Injection","0.5 g, 1 g","SDL",""
"Thrombin","Topical solution","5,000 international units/5 mL","SDL",""
"Ticagrelor","Tablet","90 mg","MAF ","$94"
"Ticlopidine Hydrochloride","Tablet","250 mg","SDL",""
"Timolol Maleate","Eye drops","0.50%","SDL",""
"Tioguanine","Tablet","40 mg","SDL",""
"Tofacitinib","Tablet","5 mg","MAF","Additional clinical criteria applies

1) Treatment of adults with rheumatoid arthritis.

2) Treatment of adults with moderately to severely active ulcerative colitis who have failed conventional therapy and/or anti-TNFα biologics."
"Tolbutamide","Tablet","500 mg","SDL",""
"Tolterodine Tartrate","Extended-release capsule","4 mg","SDL",""
"Tolterodine Tartrate","Tablet","1 mg, 2 mg","SDL",""
"Topiramate","Tablet","25 mg, 50 mg, 100 mg","SDL",""
"Tramadol Hydrochloride","Capsule","50 mg","SDL",""
"Tramadol Hydrochloride","Tablet","50 mg","SDL",""
"Trametinib","Tablet","0.5 mg, 2 mg","MAF","$96"
"Trametinib","Powder for oral solution","4.7 mg","MAF","1) To use with dabrafenib for the treatment of paediatric patients 1 year of age and older with low-grade glioma (LGG) with a BRAF V600E mutation who require systemic therapy. Treatment must be discontinued following disease progression based on the Response Assessment in Neuro-Oncology (RANO) criteria.

2) To use with dabrafenib for the treatment of paediatric patients 1 year of age and older with high-grade glioma (HGG) with a BRAF V600E mutation who have progressed following prior treatment and have no satisfactory alternative treatment options. Treatment must be discontinued following disease progression based on the Response Assessment in Neuro-Oncology (RANO) criteria."
"Tranexamic Acid","Injection","100 mg/mL","SDL",""
"Tranexamic Acid","Tablet","500 mg","SDL",""
"Trastuzumab Biosimilar (Herzuma)","Injection","440 mg","SDL",""
"Trastuzumab Biosimilar (Ogivri)","Injection","440 mg ","SDL",""
"Tremelimumab (Imjudo)","Concentrate for solution for infusion","300 mg/15 mL","MAF","A single priming dose of tremelimumab in combination with durvalumab for treating unresectable hepatocellular carcinoma in patients who have not received prior systemic therapy, and who have adequate liver function as assessed by the Child-Pugh scoring system."
"Tretinoin","Capsule","10 mg","SDL",""
"Triamcinolone Acetonide","Injection","10 mg/mL","SDL",""
"Triamterene & Hydrochlorothiazide","Tablet","Triamterene 50 mg + Hydrochlorothiazide 25 mg","SDL",""
"Trifluoperazine","Tablet","1 mg, 5 mg","SDL",""
"Trimethoprim","Oral suspension","50 mg/5 mL","SDL",""
"Trimethoprim","Tablet","100 mg","SDL",""
"Triptorelin (Diphereline)","Powder and solvent for suspension for injection","3.75 mg, 11.25 mg","MAF","For cancer treatment."
"Tropicamide","Eye drops","0.5%, 1%","SDL",""
"Tropicamide","Single-use eye drops","1%","SDL",""
"Tislelizumab (Tevimbra)","Concentrate for solution for infusion","100 mg/10 mL","MAF","$98"
"Umeclidinium","Inhalation powder","62.5 mcg/dose (30 doses/ inhaler)","SDL",""
"Umeclidinium & Vilanterol","Inhalation powder","Umeclidinium 62.5 mcg/dose + Vilanterol 25 mcg/dose (30 doses/ inhaler)","SDL",""
"Urea","Cream","5%, 10%","SDL",""
"Urokinase","Injection","60,000 international units","SDL",""
"Ursodeoxycholic Acid","Capsule","250 mg ","SDL ",""
"Ursodeoxycholic Acid","Suspension","50 mg/mL","SDL",""
"Ursodeoxycholic Acid","Tablet","500 mg ","SDL ",""
"Ustekinumab biosimilar (Steqeyma)","Prefilled syringe","45 mg/0.5 mL, 90 mg/1 mL","SDL",""
"Ustekinumab biosimilar (Steqeyma)","Concentrate for solution for infusion","130 mg/26 mL","SDL",""
"Valganciclovir","Tablet","450 mg","SDL",""
"Valsartan","Tablet","80 mg, 160 mg","SDL",""
"Vancomycin","Infusion","500 mg","SDL",""
"Vasopressin","Injection","20 pressor units/mL","SDL",""
"Vedolizumab (Entyvio)","Infusion","300 mg","MAF","Additional clinical criteria applies

Treatment of adults with moderately to severely active Crohn’s disease who have failed both conventional therapy and anti-TNFα biologics."
"Venetoclax","Tablet","10 mg, 50 mg, 100 mg","MAF","1) Monotherapy for patients with chronic lymphocytic leukaemia (CLL) who are unsuitable for fludarabine-based therapy, following combination treatment with obinutuzumab. (Maximum treatment duration of obinutuzumab is 6 cycles and venetoclax is 12 months).

2) Venetoclax in combination with rituximab biosimilar (subsidised brand) for patients with chronic lymphocytic leukaemia (CLL) who have received at least one prior therapy. Maximum treatment duration of rituximab is 6 cycles and venetoclax is 24 months.

3) Venetoclax in combination with obinutuzumab for patients with previously untreated chronic lymphocytic leukaemia (CLL) who are unsuitable for fludarabine-based therapy. Maximum treatment duration of obinutuzumab is 6 cycles and venetoclax is 12 months."
"Venlafaxine","Extended-release capsule","75 mg, 150 mg","SDL",""
"Venlafaxine","Extended-release tablet","75 mg, 150 mg","SDL",""
"Verapamil Hydrochloride","Injection","2.5 mg/mL","SDL",""
"Verapamil Hydrochloride","Tablet","40 mg","SDL",""
"Vinblastine Sulfate","Injection","10 mg","SDL",""
"Vincristine Sulfate","Injection","1 mg","SDL",""
"Vinorelbine","Injection","50 mg/5 mL","SDL",""
"Vitamin A","Capsule","10,000 units","SDL",""
"Vitamin B Complex","Injection","Thiamine Hydrochloride 10 mg/2 mL, Riboflavin Sodium Phosphate 5.47 mg/2 mL, Nicotinamide 40 mg/2 mL, Dexpanthenol 6 mg/2 mL, Pyridoxine Hydrochloride 4 mg/2 mL","SDL",""
"Vitamin B Complex","Tablet","Thiamine 3 mg + Riboflavine 1.5 mg + Nicotinamide 10 mg + Pyridoxine 0.5 mg","SDL",""
"Voriconazole","Infusion","200 mg","SDL",""
"Voriconazole","Oral suspension","40 mg/mL","MAF","1) Treatment of invasive aspergillosis

2) Treatment of candidaemia in non-neutropenic patients

3) Treatment of fluconazole-resistant candidiasis

4) Treatment of serious infections from Scedosporium and Fusarium species"
"Voriconazole","Tablet","50 mg, 200 mg","SDL",""
"Warfarin Sodium","Tablet","1 mg, 3 mg, 5 mg","SDL",""
"White Soft Paraffin","Ointment","-","SDL",""
"Zanubrutinib ","Capsule","80 mg","MAF","1) Treatment of patients with mantle cell lymphoma (MCL) who have received at least one prior therapy.

2) Monotherapy for patients with Waldenstrom's macroglobulinemia (WM) who have received at least one prior therapy.

3) Monotherapy for previously untreated Waldenstrom's macroglobulinemia (WM) in patients who are unsuitable for chemo-immunotherapy.

4) Monotherapy for relapsed or refractory marginal zone lymphoma (MZL) in patients who have received at least one prior anti-CD20-based regimen.

5) Monotherapy for chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) in patients who have received at least one prior therapy.

6) Monotherapy for previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) in patients who are unsuitable for fludarabine-based therapy."
"Zidovudine","Capsule","100 mg","SDL",""
"Zoledronic Acid","Infusion","5 mg/100 mL","MAF","1) For patients with osteoporosis (T score ≤ -2.5) and who are unable to tolerate or follow the administration instructions for oral bisphosphonates

2) For patients ≥ 50 years with T-score between -1.0 and -2.5 who are unable to tolerate or follow the administration instructions for oral bisphosphonates, and meeting any of the following:
• 10-year major osteoporotic fracture probability ≥ 15% (males) or ≥ 18% (females), or
• 10-year hip fracture probability ≥ 3% (age 50 to 69 years) or ≥ 4% (age ≥ 70 years)."
"Zoledronic Acid","Infusion","4 mg","SDL",""
"Zuclopenthixol Acetate","Injection","50 mg/mL","SDL",""
"Zuclopenthixol Decanoate","Injection","200 mg/mL","SDL",""
