"Project Number","Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued"
SR0368-000,Nesina,Alogliptin,"Diabetes mellitus, type 2","Do not list",Complete,"Jan 30, 2014","Jan 15, 2015"
SR0009-000,Neulasta,Pegfilgrastim,Neutropenia,"List with clinical criteria and/or conditions",Complete,"Mar 29, 2004","Oct 27, 2004"
SR0344-000,Neupro,Rotigotine,"Parkinson's disease","Do not list",Complete,"Jul 31, 2013","May 28, 2014"
SR0432-000,Neupro,Rotigotine,"Parkinson’s disease","List with clinical criteria and/or conditions",Complete,"May 21, 2015","Nov 19, 2015"
SR0071-000,Nexavar,"Sorafenib tablets","Cancer, Renal cell carcinoma","Do not list",Complete,"Jul 31, 2006","Feb 28, 2007"
PC0049-000,Nexavar,Sorafenib,"Metastatic Progressive Differentiated Thyroid Carcinoma (DTC)","Do not reimburse",Complete,,"Jul 16, 2015"
SR0648-000,Nexplanon,etonogestrel,"Prevention of pregnancy","Reimburse with clinical criteria and/or conditions",Complete,"Jun 3, 2020","Oct 20, 2020"
SR0703-000,Nexviazyme,"avalglucosidase alfa","Pompe disease","Reimburse with clinical criteria and/or conditions",Complete,"Sep 30, 2021","Jul 5, 2022"
SR0683-000,Ngenla,somatrogon,"Growth hormone deficiency","Reimburse with clinical criteria and/or conditions",Complete,"Jun 3, 2021","Mar 8, 2022"
SR0913-000,Nilemdo,"bempedoic acid","Primary hyperlipidemia and cardiovascular disease",,Active,"Dec 19, 2025",
PC0164-000,Ninlaro,Ixazomib,"Multiple Myeloma (2nd-beyond)","Do not reimburse",Complete,,"Jul 5, 2019"
PC0088-000,Ninlaro,Ixazomib,"Multiple Myeloma","Do not reimburse",Complete,,"Jun 29, 2017"
SR0554-000,Nitisinone,nitisinone,"Hereditary tyrosinemia type 1","Reimburse with clinical criteria and/or conditions",Complete,"Jan 25, 2018","Aug 23, 2018"
SR0026-000,Norprolac,"Quinagolide hydrochloride",Hyperprolactinemia,"Do not list",Complete,"Dec 16, 2004","Sep 28, 2005"
SR0046-000,Norprolac,"Quinagolide hydrochloride",Hyperprolactinemia,"List with clinical criteria and/or conditions",Complete,"Nov 23, 2005","May 17, 2006"
SR0041-000,"NovoMix 30","Insulin aspart/insulin aspart protamine","Diabetes mellitus","Do not list",Complete,"Oct 13, 2005","Apr 26, 2006"
SR0179-000,Nplate,Romiplostim,"Chronic immune (idiopathic) thrombocytopenic purpura (ITP)","Do not list",Complete,"Sep 29, 2009","May 27, 2010"
PC0294-000,Nubeqa,darolutamide,"Metastatic castration-sensitive prostate cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jun 16, 2022","Jan 5, 2023"
PC0196-000,Nubeqa,Darolutamide,"non-metastatic castration resistant prostate cancer (nmCRPC)","Reimburse with clinical criteria and/or conditions",Complete,,"Apr 22, 2020"
PC0404-000,Nubeqa,darolutamide,"Metastatic castration-sensitive prostate cancer","Reimburse with clinical criteria and/or conditions",Complete,"Apr 28, 2025","Oct 20, 2025"
SR0735-000,Nucala,mepolizumab,"Severe chronic rhinosinusitis with nasal polyps","Reimburse with clinical criteria and/or conditions",Complete,"May 11, 2022","Nov 16, 2022"
SR0888-000,Nucala,mepolizumab,"chronic obstructive pulmonary disease",,Active,"Jul 9, 2025",
NS0018-000,Nucala,mepolizumab,"Eosinophilic granulomatosis with polyangiitis","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
NS0027-000,Nucala,mepolizumab,"Asthma, severe eosinophilic (pediatric)","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
SR0461-000,Nucala,Mepolizumab,"Asthma, severe eosinophilic","Reimburse with clinical criteria and/or conditions",Complete,"Dec 18, 2015","Jun 16, 2016"
SF0593-000,Nucala,mepolizumab,"Asthma, severe eosinophilic","Reimburse with clinical criteria and/or conditions",Complete,"Oct 24, 2018","Mar 27, 2019"
SR0563-000,Nucynta,"tapentadol hydrochloride","pain, severe","Do not reimburse",Complete,"Apr 17, 2018","Oct 23, 2018"
SR0224-000,"Nucynta CR",Tapentadol,"Pain, moderate to moderately severe","Do not list",Complete,"Feb 1, 2011","Sep 28, 2011"
SR0797-000,"Nurtec ODT",rimegepant,"Migraine, prevention",,Withdrawn,"Aug 15, 2023",
SR0062-000,NuvaRing,"Etonogestrel/ethinyl estradiol","Contraceptive, ring","List with clinical criteria and/or conditions",Complete,"May 5, 2006","Nov 29, 2006"
SR0509-000,Ocaliva,"Obeticholic Acid","Primary Biliary Cholangitis","Reimburse with clinical criteria and/or conditions",Complete,"Dec 22, 2016","Jul 25, 2017"
SR0519-000,Ocrevus,ocrelizumab,"multiple sclerosis, relapsing","Reimburse with clinical criteria and/or conditions",Complete,"May 16, 2017","Nov 21, 2017"
SR0542-000,Ocrevus,ocrelizumab,"Primary progressive multiple sclerosis","Reimburse with clinical criteria and/or conditions",Complete,"Oct 26, 2017","Apr 26, 2018"
SR0507-000,Odefsey,"emtricitabine/rilpivirine/ tenofovir alafenamide","HIV-1 infection","Reimburse with clinical criteria and/or conditions",Complete,"Nov 24, 2016","May 25, 2017"
PC0215-000,Odomzo,Sonidegib,"Basal Cell Carcinoma","Do not reimburse",Complete,,"Apr 29, 2021"
SR0654-000,Ofev,nintedanib,"chronic fibrosing interstitial lung diseases","Reimburse with clinical criteria and/or conditions",Complete,"Jul 24, 2020","Feb 24, 2021"
SR0426-000,Ofev,Nintedanib,"Idiopathic pulmonary fibrosis","List with clinical criteria and/or conditions",Complete,"Apr 23, 2015","Oct 15, 2015"
PC0169-000,Ogivri,Trastuzumab,,,Withdrawn,,
PC0355-000,Ojjaara,momelotinib,Myelofibrosis,"Reimburse with clinical criteria and/or conditions",Complete,"Jun 19, 2024","Jan 8, 2025"
SR0879-000,Okedi,risperidone,"Schizophrenia, adults","Reimburse with clinical criteria and/or conditions",Active,"Mar 21, 2025","Jan 21, 2026"
SR0150-000,Olmetec,"Olmesartan medoxomil",Hypertension,"List in a similar manner to other drugs in class",Complete,"Nov 28, 2008","May 27, 2009"
SR0151-000,"Olmetec Plus","Olmesartan medoxomil + hydrochlorothiazide",Hypertension,"List in a similar manner to other drugs in class",Complete,"Nov 28, 2008","May 27, 2009"
SR0843-000,Olumiant,baricitinib,"Alopecia areata, severe","Reimburse with clinical criteria and/or conditions",Complete,"Mar 4, 2024","Sep 13, 2024"
SR0597-000,Olumiant,baricitinib,"Arthritis, Rheumatoid","Reimburse with clinical criteria and/or conditions",Complete,"Dec 20, 2018","Aug 2, 2019"
SR0137-000,Omnaris,"Ciclesonide nasal spray","Allergic Rhinitis (seasonal and perennial)","Do not list",Complete,"May 7, 2008","Nov 12, 2008"
SR0167-000,Omnitrope,"Somatropin (rDNA origin)","Growth hormone deficiency in children and adults",N/A,Complete,"Jun 12, 2009",
SR0773-000,Omvoh,mirikizumab,"Ulcerative colitis","Reimburse with clinical criteria and/or conditions",Complete,"Mar 7, 2023","Nov 16, 2023"
SR0880-000,Omvoh,mirikizumab,"Crohn’s disease","Reimburse with clinical criteria and/or conditions",Complete,"Mar 4, 2025","Sep 10, 2025"
SR0273-000,Onbrez,Indacaterol,"Chronic obstructive pulmonary disease","List in a similar manner",Complete,"Feb 29, 2012","Aug 16, 2012"
NS0002-000,Oncaspar,pegaspargase,"Adult Acute Lymphocytic Leukemia (ALL)","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
ST0772-000,Ondexxya,"andexanet alfa","Reversal of FXa inhibitor anticoagulant effects","Do not reimburse",Complete,"Mar 2, 2023","Dec 5, 2023"
SR0280-000,Onglyza,Saxagliptin,"Diabetes mellitus, type 2",,Withdrawn,"May 28, 2012",
SR0329-000,Onglyza,Saxagliptin,"Diabetes mellitus, type 2","List with criteria/condition",Complete,"May 9, 2013","Nov 15, 2013"
SR0185-000,Onglyza,Saxagliptin,"Diabetes mellitus (Type 2)","Do not list",Complete,"Nov 9, 2009","Jun 17, 2010"
PC0096-000,Onivyde,"Nanoliposomal Irinotecan",,,Cancelled,,
PC0107-000,Onivyde,"Irinotecan Liposome","Metastatic Pancreatic Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Jan 5, 2018"
SR0598-000,Onpattro,patisiran,"Polyneuropathy in hereditary transthyretin-mediated amyloidosis","Reimburse with clinical criteria and/or conditions",Complete,"Jan 25, 2019","Jul 25, 2019"
SR0229-000,Onsolis,"Fentanyl Citrate","Pain, breakthrough cancer pain",,Withdrawn,"May 10, 2011",
SR0248-000,Onsolis,"Fentanyl Citrate","Pain, breakthrough cancer pain","Do not list",Complete,"Aug 22, 2011","Feb 15, 2012"
