"Project Number","Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued"
NS0039-000,Sunosi,solriamfetol,"Excessive daytime sleepiness","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
SR0418-000,Sunvepra,Asunaprevir,"Hepatitis C, chronic","Reimburse with clinical criteria and/or conditions",Complete,"Feb 13, 2015","Jul 20, 2016"
PC0004-000,Sutent,"Sunitinib malate","Pancreatic Neuroendocrine Tumour","Reimburse with clinical criteria and/or conditions",Complete,,"May 3, 2012"
SR0069-000,Sutent,Sunitinib,"Gastrointestinal stromal tumour (GIST)","List with clinical criteria and/or conditions",Complete,"Jul 20, 2006","Mar 28, 2007"
SR0077-000,Sutent,"Sunitinib malate","Cancer, Metastatic renal cell carcinoma","Do not list",Complete,"Sep 20, 2006","Apr 26, 2007"
PC0052-000,Sylvant,Siltuximab,"Multicentric Castleman's disease (MCD)","Reimburse with clinical criteria and/or conditions",Complete,,"Jun 22, 2015"
NS0008-000,Symdeko,tezacaftor/ivacaftor,"Cystic fibrosis, F508del mutation(s)","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
SR0552-000,Symtuza,"Darunavir/cobicistat/emtricitabine/tenofovir alafenamide","HIV-1 infection","Reimburse with clinical criteria and/or conditions",Complete,"Dec 22, 2017","Jul 25, 2018"
SR0489-000,Synjardy,"Empagliflozin and metformin","Diabetes mellitus (Type 2)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 29, 2016","Oct 25, 2016"
NS0036-000,Tabrecta,capmatinib,"Metastatic non-small cell lung cancer (NSCLC)","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
PC0025-000,Tafinlar,Dabrafenib,"Metastatic Melanoma","Reimburse with clinical criteria and/or conditions",Complete,,"Dec 5, 2013"
PC0053-000,"Tafinlar & Mekinist in combo","Dabrafenib & Trametinib in combo","Metastatic Melanoma","Reimburse with clinical criteria and/or conditions",Complete,,"Jul 21, 2015"
PC0152-000,"Tafinlar & Mekinist in combo","Dabrafenib & Trametinib in combo","Melanoma Adjuvant Therapy","Reimburse with clinical criteria and/or conditions",Complete,,"May 3, 2019"
PC0106-000,"Tafinlar & Mekinist in combo","Dabrafenib & Trametinib in combo","Non-Small Cell Lung Cancer","Do not reimburse",Complete,,"Nov 2, 2017"
PC0226-000,"Tafinlar and Mekinist","Dabrafenib and Trametinib","NSCLC BRAF V600","Reimburse with clinical criteria and/or conditions",Complete,,"May 28, 2021"
NS0028-000,"Tafinlar and Mekinist","dabrafenib and trametinib","Pediatric high-grade glioma with BRAF V600E","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
NS0029-000,"Tafinlar and Mekinist","dabrafenib and trametinib","Pediatric low-grade glioma with BRAF V600E","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
PC0337-000,Tafinlar-Mekinist,"dabrafenib trametinib","Advanced or metastatic anaplastic thyroid cancer with BRAF V600E mutation",,Cancelled,,
PC0137-000,Tagrisso,Osimertinib,"Non-Small Cell Lung Cancer (NSCLC) (first line)","Reimburse with clinical criteria and/or conditions",Complete,,"Jan 4, 2019"
PC0398-000,Tagrisso,osimertinib,"Unresectable (stage III) non-small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 13, 2025","Aug 27, 2025"
PC0076-000,Tagrisso,Osimertinib,"Non-Small Cell Lung Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"May 4, 2017"
PC0336-000,Tagrisso,osimertinib,"Non-small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Dec 11, 2023","Oct 3, 2024"
PC0246-000,Tagrisso,osimertinib,"Non-small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Mar 24, 2021","Jan 10, 2022"
SR0618-000,Takhzyro,lanadelumab,"Hereditary angioedema, prevention","Reimburse with clinical criteria and/or conditions",Complete,"May 29, 2019","Nov 19, 2019"
SR0481-000,Taltz,Ixekizumab,"Psoriasis, moderate to severe plaque","Reimburse with clinical criteria and/or conditions",Complete,"Mar 23, 2016","Oct 25, 2016"
SR0558-000,Taltz,ixekizumab,"Arthritis, psoriatic","Reimburse with clinical criteria and/or conditions",Complete,"Feb 20, 2018","Aug 21, 2018"
SR0630-000,Taltz,ixekizumab,"Ankylosing spondylitis","Reimburse with clinical criteria and/or conditions",Complete,"Sep 20, 2019","Mar 24, 2020"
PC0455-000,Talvey,talquetamab,"Relapsed or refractory multiple myeloma",,Active,"Mar 24, 2026",
PC0363-000,Talvey,talquetamab,"Relapsed or refractory multiple myeloma","Do not reimburse",Complete,"May 1, 2024","Feb 27, 2025"
PC0417-000,Talzenna,talazoparib,"Metastatic castration-resistant prostate cancer","Reimburse with clinical criteria and/or conditions",Complete,"Mar 27, 2025","Oct 30, 2025"
NS0017-000,Talzenna,talazoparib,"Breast Cancer","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
PC0316-000,Talzenna,talazoparib,"Metastatic castration-resistant prostate cancer (mCRPC)",,Withdrawn,"Aug 15, 2023",
SR0037-000,Tarceva,Erlotinib,"Cancer, Lung , non-small cell","List with clinical criteria and/or conditions",Complete,"Jul 19, 2005","Dec 7, 2005"
SR0219-000,Targin,"Oxycodone / naloxone","Pain, Moderate to severe and relief of opioid-induced constipation",,Cancelled,"Nov 30, 2010",
SR0241-000,Targin,"Oxycodone HCI / naloxone HCI","Pain, moderate to severe and relief of opioid-induced constipation","Do not list",Complete,"Jul 5, 2011","Jan 25, 2012"
SR0701-000,Tavalisse,fostamatinib,"Chronic immune thrombocytopenia","Do not reimburse",Complete,"Jul 22, 2021","Apr 5, 2022"
SR0732-000,Tavneos,avacopan,"Antineutrophil cytoplasmic antibody-associated vasculitis","Do not reimburse",Complete,"Oct 14, 2022","Aug 10, 2023"
SE0585-000,TBC,filgrastim,"Prevention or treatment of neutropenia in various indications",,Cancelled,"Nov 1, 2018",
SE0596-000,TBC,filgrastim,,,Cancelled,,
SR0600-000,TBC,"halobetasol propionate and tazarotene","Psoriasis, moderate to severe plaque",,Withdrawn,"Feb 4, 2019",
SR0762-000,TBC,daprodustat,"Anemia due to chronic kidney disease",,Withdrawn,"Oct 25, 2022",
SR0744-000,TBC,abaloparatide,"Osteoporosis, postmenopausal women",,Withdrawn,"Aug 2, 2022",
SR0753-000,TBC,ferumoxytol,"Iron deficiency anemia",,Withdrawn,"Aug 31, 2022",
SR0751-000,TBC,tirzepatide,"Diabetes mellitus, type 2",,Cancelled,"Aug 12, 2022",
SR0629-000,TBC,etonogestrel,"Prevention of pregnancy",,Withdrawn,"Sep 26, 2019",
SR0923-000,TBC,pegzilarginase,"arginase 1 deficiency",,Active,"Feb 5, 2026",
SR0929-000,TBC,donanemab,"Alzheimer's disease",,Received,"Apr 13, 2026",
SR0934-000,TBC,"depemokimab injection","Chronic rhinosinusitis with nasal polyps",,Active,"Mar 17, 2026",
SR0925-000,TBC,leniolisib,"activated phosphoinositide 3 kinase delta syndrome",,Active,"Mar 18, 2026",
SR0926-000,TBC,depemokimab,"Asthma, eosinophilic",,Received,"Apr 9, 2026",
SR0924-000,TBC,"bempedoic acid and ezetimibe","Primary hyperlipidemia and cardiovascular disease",,Cancelled,,
SR0928-000,TBC,pimicotinib,"Tenosynovial giant cell tumour (TGCT)",,Pending,,
ST0952-000,TBC,denecimig,"Hemophilia A",,Pending,,
SR0656-000,TBC,filgotinib,"Arthritis, Rheumatoid",,Withdrawn,"Aug 4, 2020",
SR0853-001,TBC,teprotumumab,"Thyroid Eye Disease (TED), chronic",,Withdrawn,"Oct 25, 2024",
PC0384-000,TBC,"datopotamab deruxtecan","advanced or metastatic non-squamousnon-small cell lung cancer (NSCLC)",,Cancelled,,
PX0375-000,TBC,"dabrafenib trametinib","Pediatric low grade glioma (ped LGG)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 7, 2024",
SR0792-000,TBC,leniolisib,"Activated phosphoinositide 3 kinase delta syndrome",,Withdrawn,"Apr 19, 2024",
SR0857-000,TBC,donanemab,"Alzheimer's disease",,Withdrawn,"Aug 28, 2024",
SR0623-000,TBC,ravulizumab,"Paroxysmal nocturnal hemoglobinuria.",,Withdrawn,"Jul 4, 2019",
SR0810-000,TBC,pegcetacoplan,"Geographic atrophy secondary to age-related macular degeneration",,Withdrawn,"Jul 23, 2024",
SR0378-000,TBC,"Darunavir / cobicistat","HIV infection",,Withdrawn,"Apr 4, 2014",
PC0180-000,TBD,Rituximab,,,Cancelled,,
PC0157-000,TBD,Entrectinib,,,Withdrawn,,
PC0160-000,TBD,Trastuzumab,,,Cancelled,,
PC0178-000,TBD,Bevacizumab,,,Cancelled,,
PC0123-000,TBD,Cabozantinib,,,Withdrawn,,
PG0304-000,Tecartus,"brexucabtagene autoleucel","Acute lymphoblastic leukemia","Reimburse with clinical criteria and/or conditions",Complete,"Sep 16, 2022","Mar 29, 2023"
PG0219-000,Tecartus,"brexucabtagene autoleucel","Mantle cell lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Dec 18, 2020","Aug 6, 2021"
PC0171-000,Tecentriq,Atezolizumab,,,Withdrawn,,
PC0269-000,Tecentriq,atezolizumab,"Non-small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 24, 2022","Sep 1, 2022"
PC0419-000,Tecentriq,atezolizumab,"Metastatic non-small-cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jul 23, 2025",
PC0156-000,Tecentriq,Atezolizumab,"Small Cell Lung Cancer (SCLC)","Do not reimburse",Complete,,"Jan 30, 2020"
PC0115-000,Tecentriq,Atezolizumab,"Locally Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC)","Reimburse with clinical criteria and/or conditions",Complete,,"Jun 20, 2018"
PC0277-000,Tecentriq,atezolizumab,"Small Cell Lung Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jan 24, 2022","Sep 1, 2022"
PC0155-000,"Tecentriq & Avastin","Atezolizumab & Bevacizumab",NSQ-NSCLC,"Do not reimburse",Complete,,"Jul 3, 2020"
PC0217-000,"Tecentriq & Avastin","Atezolizumab & Bevacizumab","Hepatocellular Carcinoma (HCC)","Reimburse with clinical criteria and/or conditions",Complete,,"Nov 17, 2020"
SR0309-000,Tecfidera,"Dimethyl fumarate","Multiple sclerosis, relapsing-remitting","List with criteria/condition",Complete,"Feb 4, 2013","Sep 25, 2013"
SR0444-000,Technivie,"Ombitasvir/ paritaprevir/ ritonavir","Hepatitis C, chronic","List with clinical criteria and/or conditions",Complete,"Sep 4, 2015","Mar 18, 2016"
PC0332-000,Tecvayli,teclistamab,"Relapsed or refractory multiple myeloma","Reimburse with clinical criteria and/or conditions",Complete,"Aug 31, 2023","Apr 8, 2024"
SR0603-000,Tegsedi,inotersen,"hereditary transthyretin amyloidosis","Reimburse with clinical criteria and/or conditions",Complete,"Feb 22, 2019","Dec 18, 2019"
SR0030-000,Telzir,"Fosamprenavir calcium","HIV infection","List in a similar manner to other drugs in class",Complete,"Jan 24, 2005","Jun 16, 2005"
SR0853-000,Tepezza,teprotumumab,"Thyroid Eye Disease (TED), active",,Active,"Oct 25, 2024",
PC0255-000,Tepmetko,tepotinib,"Locally advanced or metastatic non-small cell lung cancer","Do not reimburse",Complete,"Aug 30, 2021","Aug 24, 2022"
SR0016-000,"Teveten Plus","Eprosartan mesylate/ hydrochlorothiazide","Hypertension, Essential","List in a similar manner to other drugs in class",Complete,"Jul 8, 2004","Dec 15, 2004"
PC0399-000,Tevimbra,tislelizumab,"recurrent or metastatic nasopharyngeal carcinoma","Reimburse with clinical criteria and/or conditions",Active,"Jun 9, 2025","Feb 19, 2026"
SR0731-000,Tezspire,tezepelumab,Asthma,"Reimburse with clinical criteria and/or conditions",Complete,"Apr 14, 2022","Nov 16, 2022"
SR0910-000,Tezspire,tezepelumab,"Chronic rhinosinusitis with nasal polyps",,Active,"Oct 6, 2025",
SR0099-000,Thelin,"Sitaxsentan sodium","Pulmonary arterial hypertension (WHO class II and III)","Do not list",Complete,"Jun 22, 2007","Jan 30, 2008"
SR0132-000,Thelin,"Sitaxsentan sodium","Pulmonary arterial hypertension (WHO class II and III)","Do not list",Complete,"May 5, 2008","Jan 28, 2009"
PC0349-000,Tibsovo,ivosidenib,"Acute myeloid leukemia (AML)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 19, 2024","Oct 4, 2024"
PC0452-000,Tibsovo,ivosidenib,"cholangiocarcinoma (CCA)",,Pending,,
SR0357-000,Tivicay,Dolutegravir,"HIV infection",List,Complete,"Oct 18, 2013","Aug 18, 2014"
SR0232-000,Toctino,Alitretinoin,Eczema,"List with clinical criteria and/or conditions",Complete,"May 6, 2011","Oct 24, 2011"
SR0911-000,Tolak,"fluorouracil sodium","Actinic keratosis lesions",,Active,"Nov 12, 2025",
SR0277-000,Toviaz,"Fesoterodine fumarate","Overactive bladder","List in a similar manner",Complete,"Apr 27, 2012","Oct 18, 2012"
SR0244-000,Trajenta,Linagliptin,"Diabetes mellitus, type 2","List with clinical criteria and/or conditions",Complete,"Aug 23, 2011","Feb 15, 2012"
SR0079-000,Tramacet,"Tramadol hydrochloride /acetaminophen","Acute pain","Do not list",Complete,"Oct 2, 2006","May 17, 2007"
SR0607-000,Translarna,ataluren,,,Cancelled,,
PC0011-000,Treanda,"Bendamustine hydrochloride","Chronic Lymphocytic Leukemia (relapsed/refractory)","Do not reimburse",Complete,,"Nov 29, 2012"
PC0011-000,Treanda,"Bendamustine hydrochloride","Chronic Lymphocytic Leukemia (first-line)","Reimburse with clinical criteria and/or conditions",Complete,,"Feb 19, 2013"
PC0010-000,Treanda,"Bendamustine hydrochloride","Non-Hodgkin Lymphoma  and Mantle Cell Lymphoma",Reimburse,Complete,,"Nov 29, 2012"
PC0040-000,"Treanda (in combination with rituximab)","Bendamustine hydrochloride","Chronic Lymphocytic Leukemia",,Withdrawn,,
PC0324-000,Trecondyv,treosulfan,"Conditioning treatment prior to stem cell transplantation for acute myeloid leukemia (AML) or myelodysplastic syndromes (MDS)","Reimburse with clinical criteria and/or conditions",Complete,"Jul 14, 2023","Feb 28, 2024"
NS0030-000,Trecondyv,treosulfan,"Conditioning treatment prior to stem cell transplantation for acute myeloid leukemia (AML) or myelodysplastic syndromes (MDS) (pediatric)","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
SR0562-000,"Trelegy Ellipta","fluticasone furoate umeclidinium vilanterol","Chronic obstructive pulmonary disease (COPD)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 1, 2018","Aug 23, 2018"
NS0025-000,"Trelegy Ellipta","fluticasone furoate/umeclidinium bromide/vilanterol trifenatate","Asthma, maintenance","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not Filed",,
SR0051-000,Trelstar,"Triptorelin pamoate","Cancer, prostate","List in a similar manner to other drugs in class",Complete,"Feb 27, 2006","Jul 20, 2006"
SR0733-000,Tremfya,guselkumab,"Psoriatic arthritis","Reimburse with clinical criteria and/or conditions",Complete,"May 2, 2022","Nov 17, 2022"
SR0874-000,Tremfya,guselkumab,"Ulcerative colitis","Reimburse with clinical criteria and/or conditions",Complete,"Oct 21, 2024","Oct 27, 2025"
SR0882-000,Tremfya,guselkumab,"Crohn’s disease","Reimburse with clinical criteria and/or conditions",Active,"Jan 31, 2025","Aug 21, 2025"
SR0530-000,Tremfya,guselkumab,"Psoriasis, moderate to severe plaque","Reimburse with clinical criteria and/or conditions",Complete,"Aug 25, 2017","Feb 21, 2018"
SR0521-000,Tresiba,"insulin degludec","Diabetes mellitus, Type 1 & 2","Reimburse with clinical criteria and/or conditions",Complete,"May 31, 2017","Nov 20, 2017"
SR0117-000,Tridural,"Tramadol hydrochloride",Pain,"Do not list",Complete,"Nov 29, 2007","Apr 17, 2008"
SR0776-000,Trikafta,"elexacaftor/tezacaftor/ivacaftor and ivacaftor","Cystic fibrosis, F508del CFTR mutation, 2 years and older","Reimburse with clinical criteria and/or conditions",Complete,"May 10, 2023","Nov 24, 2023"
SR0710-000,Trikafta,"elexacaftor/tezacaftor/ivacaftor and ivacaftor","Cystic fibrosis, F508del CFTR mutation, 6 years and older","Reimburse with clinical criteria and/or conditions",Complete,"Nov 5, 2021","Jun 17, 2022"
SR0673-000,Trikafta,"elexacaftor / tezacaftor / ivacaftor and ivacaftor","Cystic fibrosis, F508del CFTR mutation","Reimburse with clinical criteria and/or conditions",Complete,"Jan 22, 2021","Aug 30, 2021"
SR0837-000,Trikafta,"elexacaftor/tezacaftor/ivacaftor and ivacaftor","Cystic fibrosis, F508del or responsive CFTR mutation,  2 years and older","Reimburse with clinical criteria and/or conditions",Complete,"Mar 5, 2024","Oct 17, 2024"
SR0907-000,Trimbow,"beclomethasone dipropionate, glycopyrronium (as bromide) and formoterol fumarate dihydrate","Chronic obstructive pulmonary disease (COPD)",,Active,"Nov 19, 2025",
SR0402-000,Trintellix,Vortioxetine,"Depression, major depressive disorder",,Withdrawn,"Oct 31, 2014",
SR0611-000,Trintellix,"vortioxetine hydrobromide","Major depressive disorder (MDD), adults.","Reimburse with clinical criteria and/or conditions",Complete,"May 1, 2019","Feb 12, 2020"
PC0033-000,Trisenox,"Arsenic Trioxide","Acute Promyelocytic Leukemia",Reimburse,Complete,,"Feb 18, 2014"
SR0387-000,Triumeq,"Dolutegravir / abacavir / lamivudine","HIV Infection","List with criteria/condition",Complete,"Jul 31, 2014","Apr 17, 2015"
PC0323-000,Trodelvy,"sacituzumab govitecan","HR+, HER2− advanced or metastatic breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jul 18, 2023","Feb 1, 2024"
PC0254-000,Trodelvy,"sacituzumab govitecan","Locally advanced or metastatic triple-negative breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jun 30, 2021","Jan 27, 2022"
PC0442-000,Trodelvy,"sacituzumab govitecan","Locally advanced or metastatic triple-negative breast cancer",,Pending,,
SR0055-000,Trosec,"Trospium chloride","Bladder, overactive","List with clinical criteria and/or conditions",Complete,"Mar 24, 2006","Aug 24, 2006"
SR0462-000,Trulicity,dulaglutide,"Diabetes mellitus, Type 2","Reimburse with clinical criteria and/or conditions",Complete,"Dec 22, 2015","Jun 16, 2016"
PC0341-000,Truqap,capivasertib,"HR-positive, HER2-negative locally advanced or metastatic breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 14, 2024","Aug 30, 2024"
SF0138-000,Truvada,"Emtricitabine/tenofovir disoproxil fumarate","HIV infection","List with clinical criteria and/or conditions",Complete,"Jul 7, 2008","Dec 17, 2008"
SR0063-000,Truvada,"Emtricitabine/tenofovir disoproxil fumarate","HIV infection","List with clinical criteria and/or conditions",Complete,"May 29, 2006","Oct 25, 2006"
SR0479-000,Truvada,"Emtricitabine/tenofovir disoproxil fumarate","HIV-1 infection, pre-exposure prophylaxis","Reimburse with clinical criteria and/or conditions",Complete,"Mar 3, 2016","Aug 24, 2016"
PC0184-000,Truxima,Rituximab,,,Cancelled,,
SR0902-000,Tryngolza,olezarsen,"Familial chylomicronemia syndrome (FCS)","Reimburse with clinical criteria and/or conditions",Complete,"Jul 29, 2025","Feb 13, 2026"
SR0346-000,"Tudorza Genuair","Aclidinium bromide","Chronic Obstructive Pulmonary Disease","List with criteria/condition",Complete,"Aug 21, 2013","Apr 21, 2014"
PC0243-000,Tukysa,tucatinib,"Advanced or Metastatic Breast Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Mar 26, 2021","Nov 1, 2021"
SR0207-000,Twynsta,"Telmisartan / Amlodipine",Hypertension,,Cancelled,"Jul 9, 2010",
SR0245-000,Twynsta,"Telmisartan/ Amlodipine",Hypertension,List,Complete,"Aug 23, 2011","Dec 16, 2011"
PC0019-000,"Tykerb (in combination with Letrozole)",Lapatinib,"Metastatic Breast Cancer","Do not reimburse",Complete,,"Jul 5, 2013"
SR0133-000,Tysabri,Natalizumab,"Multiple Sclerosis, relapsing-remitting","List with clinical criteria and/or conditions",Complete,"May 6, 2008","Feb 25, 2009"
SR0082-000,Tysabri,Natalizumab,"Multiple Sclerosis, relapsing-remitting","Do not list",Complete,"Oct 26, 2006","Apr 26, 2007"
SR0687-000,Tysabri,natalizumab,"Multiple Sclerosis, relapsing-remitting",,Withdrawn,"Apr 21, 2021",
SR0867-000,Tzield,teplizumab,"Delay onset of Stage 3 Type 1 Diabetes","Do not reimburse",Complete,"Feb 19, 2025","Dec 10, 2025"
SR0915-000,Ubrelvy,ubrogepant,Migraine,,Active,"Dec 19, 2025",
SR0213-000,Uloric,Febuxostat,Gout,"List with clinical criteria and/or conditions",Complete,"Oct 27, 2010","Apr 25, 2011"
SR0369-000,"Ultibro Breezhaler",Indacaterol/glycopyrronium,"Chronic obstructive pulmonary disease","List with criteria/condition",Complete,"Feb 3, 2014","Dec 19, 2014"
SR0765-000,Ultomiris,ravulizumab,"AChR antibody-positive generalized Myasthenia Gravis","Do not reimburse",Complete,"Oct 25, 2022","Aug 8, 2023"
SR0740-000,Ultomiris,ravulizumab,"Atypical hemolytic uremic syndrome","Reimburse with clinical criteria and/or conditions",Complete,"Jun 8, 2022","Feb 27, 2023"
SR0700-000,Ultomiris,ravulizumab,"Paroxysmal nocturnal hemoglobinuria","Reimburse with clinical criteria and/or conditions",Complete,"Jul 22, 2021","Feb 11, 2022"
SR0855-000,Ultomiris,ravulizumab,"Generalized Myasthenia Gravis","Reimburse with clinical criteria and/or conditions",Complete,"Jun 4, 2024","Dec 17, 2024"
SR0785-000,Ultomiris,ravulizumab,"Neuromyelitis optica spectrum disorder (NMOSD)","Reimburse with clinical criteria and/or conditions",Complete,"Aug 29, 2023","Mar 13, 2024"
PC0154-000,Unituxin,Dinutuximab,Neuroblastoma,"Reimburse with clinical criteria and/or conditions",Complete,,"Mar 26, 2019"
PC0222-000,Unituxin,dinutuximab,Neuroblastoma,"Reimburse with clinical criteria and/or conditions",Complete,"Nov 23, 2020","Jul 7, 2021"
SR0931-000,Uplizna,inebilizumab,"Generalized myasthenia gravis (gMG)",,Active,"Mar 5, 2026",
SR0889-000,Uplizna,inebilizumab,"Immunoglobulin G4-related disease",,Active,"Mar 5, 2026",
SR0793-000,Uplizna,inebilizumab,"Neuromyelitis optica spectrum disorders (NMOSD)","Reimburse with clinical criteria and/or conditions",Complete,"Aug 18, 2023","Mar 13, 2024"
SR0482-000,Uptravi,Selexipag,"Pulmonary arterial hypertension (WHO class II and III)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 31, 2016","Oct 28, 2016"
SR0719-000,Vabysmo,faricimab,"Macular degeneration, age-related","Reimburse with clinical criteria and/or conditions",Complete,"Jan 31, 2022","Aug 12, 2022"
SR0729-000,Vabysmo,faricimab,"Diabetic Macular Edema","Reimburse with clinical criteria and/or conditions",Complete,"Mar 24, 2022","Oct 13, 2022"
SR0832-000,Vabysmo,faricimab,"Retinal vein occlusion","Reimburse with clinical criteria and/or conditions",Complete,"Jul 31, 2024","Feb 13, 2025"
PC0359-000,Vanflyta,quizartinib,"acute myeloid leukemia (AML)","Reimburse with clinical criteria and/or conditions",Complete,"Dec 11, 2024","Jul 23, 2025"
SR0078-000,Vantas,"Histrelin acetate","Cancer, prostate","Do not list",Complete,"Sep 20, 2006","Apr 26, 2007"
SR0619-000,Vascepa,"icosapent ethyl","Ischemic events in statin-treated patients","Reimburse with clinical criteria and/or conditions",Complete,"Jun 17, 2019","Jul 16, 2020"
PC0060-000,Vectibix,Panitumumab,"Metastatic Colorectal Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Dec 3, 2015"
PC0118-000,Vectibix,Panitumumab,"Left Sided Metastatic Colorectal Cancer (mCRC)","Do not reimburse",Complete,,"Mar 29, 2018"
SR0833-000,Veklury,remdesivir,"COVID-19 in hospitalized patients","Reimburse with clinical criteria and/or conditions",Complete,"Mar 1, 2024","Aug 16, 2024"
SR0834-000,Veklury,remdesivir,"COVID-19 in non-hospitalized patients","Reimburse with clinical criteria and/or conditions",Complete,"Mar 1, 2024","Aug 16, 2024"
PC0016-000,Velcade,Bortezomib,"Multiple Myeloma",Reimburse,Complete,,"Mar 25, 2013"
SR0571-000,Velphoro,"sucroferric oxyhydroxide","Hyperphosphatemia, end-stage renal disease","Reimburse with clinical criteria and/or conditions",Complete,"Jun 12, 2018","Jan 2, 2019"
SR0795-000,Velsipity,etrasimod,"Ulcerative colitis","Reimburse with clinical criteria and/or conditions",Complete,"Feb 5, 2024","Aug 14, 2024"
SR0665-000,Veltassa,patiromer,"Hyperkalemia, adults (chronic kidney disease)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 30, 2020","Jun 8, 2021"
SR0537-000,Vemlidy,"tenofovir alafenamide","Hepatitis B, chronic","Reimburse with clinical criteria and/or conditions",Complete,"Sep 28, 2017","Mar 26, 2018"
PC0238-000,Venclexta,venetoclax,"Acute myeloid leukemia","Reimburse with clinical criteria and/or conditions",Complete,"Jan 8, 2021","Aug 4, 2021"
PC0239-000,Venclexta,venetoclax,"Acute myeloid leukemia","Do not reimburse",Complete,"Jan 22, 2021","Aug 5, 2021"
PC0362-000,Venclexta,venetoclax,"Chronic lymphocytic leukemia (CLL)","Reimburse with clinical criteria and/or conditions",Complete,"May 22, 2024","Nov 28, 2024"
PC0402-000,Venclexta,venetoclax,"Mantle cell lymphoma (MCL)","Reimburse with clinical criteria and/or conditions",Complete,"Feb 20, 2025","Sep 12, 2025"
PC0087-000,Venclexta,Venetoclax,,,Withdrawn,,
PC0105-000,Venclexta,Venetoclax,"Chronic Lymphocytic Leukemia","Reimburse with clinical criteria and/or conditions",Complete,,"Mar 2, 2018"
PC0212-000,Venclexta,"Venetoclax Obinutuzumab","Obinutuzumab for CLL","Reimburse with clinical criteria and/or conditions",Complete,,"Nov 17, 2020"
PC0162-000,"Venclexta in combo Rituximab",Venetoclax,"Chronic Lymphocytic Leukemia (CLL)","Reimburse with clinical criteria and/or conditions",Complete,,"May 31, 2019"
SR0615-000,Verkazia,cyclosporine,"Severe vernal keratoconjunctivitis, pediatric (≥4 years)","Reimburse with clinical criteria and/or conditions",Complete,"May 22, 2019","Nov 18, 2019"
SR0758-000,Verquvo,vericiguat,"Heart failure","Reimburse with clinical criteria and/or conditions",Complete,"Oct 14, 2022","Jun 14, 2023"
PC0161-000,Verzenio,Abemaciclib,"Metastatic Breast Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Jul 5, 2019"
PC0282-000,Verzenio,abemaciclib,"Adjuvant treatment of HR-positive, HER2-negative early breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Mar 23, 2022","Sep 29, 2022"
PC0400-000,Verzenio,abemaciclib,"HR-positive, HER2-negative advanced or metastatic breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 14, 2025","Aug 28, 2025"
PC0409-000,Verzenio,abemaciclib,"HR-positive, HER2-negative advanced or metastatic breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 14, 2025","Aug 27, 2025"
PC0345-000,Verzenio,abemaciclib,"Adjuvant treatment of HR-positive, HER2-negative early breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 9, 2024","Oct 3, 2024"
SR0155-000,Vesicare,"Solifenacin succinate","Bladder, overactive","List with clinical criteria and/or conditions",Complete,"Jan 5, 2009","Jun 17, 2009"
SR0070-000,Vesicare,"Solifenacin succinate","Bladder, overactive","Do not list",Complete,"Jul 24, 2006","Jan 24, 2007"
